nombre,slug,parent_nombre,nivel,orden,activo
"Productos Quimicos",productos-quimicos,,1,1,1
"Accesorios para Tratamiento de Agua Industrial",accesorios-para-tratamiento-de-agua-industrial,,1,2,1
"Equipos y Accesorios para Piscinas",equipo-y-accesorios-para-piscinas,,1,3,1
"Equipos de Tratamiento de Agua",equipos-de-tratamiento-de-agua,,1,4,1
"Instrumentos de Laboratorio y Reactivos Quimicos",instrumentos-de-laboratorio-y-reactivos-quimicos,,1,5,1
"quimicos para embotelladoras"",quimicos-para-embotelladoras,"Productos Quimicos",2,1,1
"quimicos para piscinas y spa",quimicos-para-piscinas-y-spa,"Productos Quimicos",2,2,1
"quimicos para pre y tratamiento de agua",quimicos-para-pre-y-tratamiento,"Productos Quimicos",2,3,1
"quimicos para mineria",quimicos-para-mineria,"Productos Quimicos",2,4,1
"quimicos para agroindustria",quimicos-para-agroindustria,"Productos Quimicos",2,5,1
"quimicos tratamiento interno de agua de caldero",quimicos-tratamiento-interno-de,"Productos Quimicos",2,6,1
"quimicos sistema de enfriamiento",quimicos-sistema-de-enfriamiento,"Productos Quimicos",2,7,1
"desinfección para plantas cisternas y equipos",desinfeccion-para-plantas-cisternas,"quimicos para embotelladoras",3,1,1
"tratamiento de botellones de agua de mesa",tratamiento-de-botellones-de-agua,"quimicos para embotelladoras",3,2,1
"detergentes y desinfectantes",detergentes-y-desinfectantes,"quimicos para embotelladoras",3,3,1
"limpieza de membranas de osmosis inversa",limpieza-de-membranas-de-osmosis,"quimicos para embotelladoras",3,4,1
"regulador de ph",regulador-de-ph,"quimicos para piscinas y spa",3,1,1
"desinfeccion",desinfeccion,"quimicos para piscinas y spa",3,2,1
"clarificacion",clarificacion,"quimicos para piscinas y spa",3,3,1
"control de hongos y algas",control-de-hongos-y-algas,"quimicos para piscinas y spa",3,4,1
"limpieza",limpieza,"quimicos para piscinas y spa",3,5,1
"procesos mineros",procesos-mineros,quimicos para mineria",3,1,1
"tratamiento de agua desinfeccion",tratamiento-de-agua-desinfeccion,"quimicos para mineria",3,2,1
"osmosis inversa y purificacion",osmosis-inversa-y-purificacion,"quimicos para mineria",3,3,1
"desinfección para plantas cisternas y equipos",desinfeccion-para-plantas-cisternas,"quimicos para agroindustria",3,1,1
"detergentes y desengrasante",detergentes-y-desengrasantes,"quimicos para agroindustria",3,2,1
"insumos quimicos",insumos-quimicos,"quimicos para agroindustria",3,3,1
